Number;Words;Syllables;Sentences;Letters;AvgWord;AvgSent;FleschUA;Flasch-Kincaid
1;298;814;20;1955;2,7315436241610738;14,9;-40,17709060402683;22,45321476510067
2;378;999;18;2349;2,642857142857143;21,0;-38,86571428571426;23,78571428571429
3;339;915;27;2105;2,6991150442477876;12,555555555555555;-35,054021632251704;21,156224188790564
4;446;1167;34;2731;2,616591928251121;13,117647058823529;-28,64308889475069;20,401667106304405
5;397;867;41;2150;2,1838790931989926;9,682926829268293;11,45065798365789;13,956114763162748
6;342;904;29;2158;2,6432748538011697;11,793103448275861;-29,55605263157895;20,19995361968139
7;281;752;26;1801;2,676156583629893;10,807692307692308;-31,337654667396635;20,203647686832742
8;417;1178;27;2789;2,824940047961631;15,444444444444445;-48,63103916866507;23,767625899280578
9;436;1096;47;2606;2,5137614678899083;9,27659574468085;-16,044964864337317;17,690257661526456
10;276;687;26;1658;2,489130434782609;10,615384615384615;-15,320050167224082;17,921739130434784
11;393;1024;37;2451;2,6055979643765905;10,621621621621621;-25,1795337322055;19,2984884120762
12;259;660;21;1585;2,548262548262548;12,333333333333334;-22,06634491634489;19,28949806949807
13;355;892;35;2136;2,5126760563380284;10,142857142857142;-16,832394366197178;18,01529175050302
14;367;915;34;2150;2,4931880108991824;10,794117647058824;-15,844735133835542;18,039324410963292
15;391;984;32;2324;2,516624040920716;12,21875;-19,27342511189255;18,871476182864445
16;443;1151;32;2634;2,598194130925508;13,84375;-27,823629726297952;20,467753244920996
17;463;1194;37;2744;2,5788336933045355;12,513513513513514;-24,835546669779887;19,720507851263793
18;401;1004;24;2283;2,5037406483790523;16,708333333333332;-22,740417186201142;20,47038965087282
19;374;940;32;2274;2,513368983957219;11,6875;-18,458828542780708;18,62587901069519
20;387;1076;32;2409;2,7803617571059434;12,09375;-41,458760901162805;21,934831233850137
21;334;938;30;2181;2,808383233532934;11,133333333333333;-42,85455489021953;21,890922155688624
22;420;1096;32;2548;2,6095238095238096;13,125;-28,052589285714276;20,32113095238096
23;408;993;37;2290;2,4338235294117645;11,027027027027026;-11,058903020667714;17,42965818759936
24;365;956;28;2238;2,6191780821917807;13,035714285714286;-28,77871575342462;20,400229941291588
25;496;1201;36;2758;2,4213709677419355;13,777777777777779;-12,79742831541219;18,355510752688172
26;393;1040;31;2374;2,6463104325699747;12,67741935483871;-30,710443240581156;20,5806566527128
27;337;890;36;2143;2,6409495548961424;9,36111111111111;-26,89086012199141;19,224038081107818
28;437;1204;37;2834;2,7551487414187643;11,81081081081081;-39,03855649700043;21,526971364957642
29;320;829;30;2016;2,590625;10,666666666666666;-23,95854166666666;19,139375000000005
30;429;1079;32;2480;2,515151515151515;13,40625;-20,35416193181817;19,317225378787878
31;420;1109;27;2566;2,6404761904761904;15,555555555555555;-33,138174603174576;21,634285714285713
32;460;1107;37;2639;2,4065217391304348;12,432432432432432;-10,1756580493537;17,655605170387776
33;495;1280;43;3026;2,585858585858586;11,511627906976743;-24,412938689217782;19,412666196852246
34;394;1046;31;2457;2,6548223350253806;12,709677419354838;-31,463292123792343;20,69367774684788
35;372;971;22;2294;2,610215053763441;16,90909090909091;-31,951920821114356;21,80508308895406
36;319;911;20;2083;2,8557993730407523;15,95;-51,75487695924761;24,328932601880883
37;433;1201;35;2874;2,7736720554272516;12,371428571428572;-41,17465588914547;21,964187396898712
38;329;910;21;2182;2,765957446808511;15,666666666666666;-43,866666666666674;23,15829787234043
39;382;851;29;2013;2,2277486910994764;13,172413793103448;4,197460732984297;15,83467593428417
40;430;984;34;2240;2,2883720930232556;12,647058823529411;-0,3980437756497679;16,34514363885089
41;410;987;28;2323;2,4073170731707316;14,642857142857142;-12,486524390243886;18,527055749128923
42;420;1100;34;2641;2,619047619047619;12,352941176470589;-28,0746638655462;20,132408963585437
43;437;1169;26;2665;2,675057208237986;16,807692307692307;-37,33464750924131;22,53067505720824
44;405;1095;28;2535;2,7037037037037037;14,464285714285714;-37,37958333333333;21,954775132275135
45;353;1025;20;2362;2,903682719546742;17,65;-57,53130807365437;25,556956090651557
46;389;986;21;2320;2,5347043701799485;18,523809523809526;-27,202656383890314;21,543797282409113
47;407;1012;21;2403;2,4864864864864864;19,38095238095238;-23,993423423423394;21,30911196911197
48;456;1196;29;2806;2,6228070175438596;15,724137931034482;-31,814473684210526;21,49153660012099
49;434;1015;28;2437;2,338709677419355;15,5;-7,5523387096774;18,051774193548393
50;242;461;11;1093;1,9049586776859504;22,0;22,54549586776858;15,46851239669422
51;174;372;12;853;2,1379310344827585;14,5;10,448534482758646;15,292586206896551
52;456;1033;26;2484;2,2653508771929824;17,53846153846154;-3,415222672064772;17,981140350877194
53;449;1080;17;2550;2,4053452115812917;26,41176470588235;-24,265146076247845;23,093661731953365
54;415;1014;26;2478;2,4433734939759035;15,961538461538462;-16,875359128822964;19,466807228915666
55;520;1180;21;2844;2,269230769230769;24,761904761904763;-11,0752564102564;20,84406593406594
56;423;1038;30;2446;2,4539007092198584;14,1;-15,876499999999993;18,86502836879433
57;485;1148;25;2655;2,3670103092783505;19,4;-13,90507216494845;19,906721649484542
58;380;640;45;1517;1,6842105263157894;8,444444444444445;54,97967836257311;7,57701754385965
59;227;400;10;901;1,7621145374449338;22,7;33,919610132158596;14,055951541850224
60;532;1206;32;2843;2,2669172932330826;16,625;-2,620578007518759;17,643374060150375
61;437;814;75;1872;1,862700228832952;5,826666666666667;42,53649397406562;8,662262700228837
62;430;837;63;1884;1,9465116279069767;6,825396825396825;34,43233850129201;10,040741971207087
63;342;862;26;2053;2,52046783625731;13,153846153846153;-20,547732793522243;19,281520467836263
64;458;1127;28;2685;2,460698689956332;16,357142857142858;-18,742609170305656;19,825530255770435
65;450;1062;23;2505;2,36;19,565217391304348;-13,479695652173888;19,888434782608694
66;390;1026;16;2414;2,6307692307692307;24,375;-41,26870192307692;24,959326923076926
67;439;1079;16;2572;2,4578587699316627;27,4375;-29,748914436218655;24,113358485193626
68;443;1024;21;2445;2,311512415349887;21,095238095238095;-10,930617005267095;19,912989358271528
69;400;1138;27;2733;2,845;14,814814814814815;-49,68903703703705;23,758777777777784
70;432;1090;24;2516;2,5231481481481484;18,0;-25,693333333333356;21,203148148148156
71;344;810;33;1893;2,354651162790698;10,424242424242424;-3,74909443269911;16,26033826638478
72;376;905;24;2166;2,4069148936170213;15,666666666666666;-13,491666666666646;18,921595744680854
73;471;1243;22;2954;2,6390658174097665;21,40909090909091;-38,9601954255935;23,9005220999807
74;466;1170;26;2740;2,5107296137339055;17,923076923076923;-24,56464839881147;21,02660944206009
75;410;1069;13;2503;2,607317073170732;31,53846153846154;-46,555562851782355;27,476341463414638
76;437;1142;28;2731;2,6132723112128144;15,607142857142858;-30,88908752860408;21,33339898659693
77;104;205;10;493;1,9711538461538463;10,4;28,719384615384598;11,725615384615388
78;541;1238;34;2822;2,288354898336414;15,911764705882353;-3,7102655757312277;17,618176035663804
79;524;1063;27;2534;2,0286259541984735;19,40740740740741;14,714725756290647;15,916675148430876
80;418;953;25;2265;2,2799043062200957;16,72;-3,815704306220084;17,83367081339713
81;298;671;15;1535;2,251677852348993;19,866666666666667;-4,621612975391486;18,72779865771812
82;383;899;27;2179;2,3472584856396868;14,185185185185185;-6,941030848080459;17,639872352770528
83;263;516;12;1226;1,961977186311787;21,916666666666668;17,80631337135617;16,108830798479087
84;268;516;11;1200;1,9253731343283582;24,363636363636363;18,41934192673;16,63122116689281
85;290;516;10;1228;1,7793103448275862;29,0;26,07034482758621;16,715862068965517
86;169;344;7;818;2,035502958579882;24,142857142857142;9,326449704142021;17,84464919695689
87;259;516;12;1263;1,9922779922779923;21,583333333333332;15,581198519948515;16,33638030888031
88;223;430;22;1059;1,9282511210762332;10,136363636363637;32,61654606604159;11,11654504688137
89;383;927;28;2196;2,4203655352480418;13,678571428571429;-12,611674281984307;18,30495617306975
90;465;696;15;1895;1,4967741935483871;31,0;47,94290322580645;14,16193548387097
91;519;825;32;2137;1,5895953757225434;16,21875;55,09319996387285;9,492537933526012
92;227;471;29;1030;2,0748898678414096;7,827586206896552;22,55431718061675;11,946459061218292
93;425;912;38;2161;2,1458823529411766;11,18421052631579;13,141379256965962;14,093253869969043
94;460;932;55;2217;2,026086956521739;8,363636363636363;26,13895256916996;11,579644268774704
95;309;921;17;2211;2,9805825242718447;18,176470588235293;-64,57139920045685;26,66969731581953
96;388;1032;31;2560;2,6597938144329896;12,516129032258064;-31,687427668772813;20,676857332889927
97;366;934;36;2256;2,551912568306011;10,166666666666666;-20,175969945355178;18,48756830601093
98;401;1041;33;2477;2,596009975062344;12,151515151515152;-25,92123176906219;19,782008614826577
99;363;982;28;2287;2,7052341597796143;12,964285714285714;-35,98655991735535;21,387834513970876
100;410;1047;32;2465;2,553658536585366;12,8125;-23,009199695121936;19,54004573170732
101;442;1164;34;2818;2,6334841628959276;13,0;-29,952760180995455;20,55511312217195
102;333;868;29;2061;2,6066066066066065;11,482758620689655;-26,138918918918904;19,646233820026925
103;447;1199;37;2863;2,6823266219239374;12,08108108108108;-33,1521295120624;20,773075760324087
104;413;1072;35;2536;2,595641646489104;11,8;-25,53328329297821;19,64057142857143
105;428;1199;27;2792;2,8014018691588785;15,851851851851851;-47,05322776047072;23,64876427829699
106;480;1227;35;2952;2,55625;13,714285714285714;-24,143749999999983;19,922321428571426
107;449;1134;34;2720;2,5256124721603563;13,205882352941176;-21,035785733001433;19,362521289139263
108;349;930;31;2247;2,664756446991404;11,258064516129032;-30,83033089934375;20,244771235788892
109;501;1245;40;2902;2,4850299401197606;12,525;-16,911407934131745;18,618103293413174
110;425;1084;32;2528;2,550588235294118;13,28125;-23,225233455882346;19,686628676470594
111;425;1100;33;2650;2,588235294117647;12,878787878787879;-26,001675579322637;19,973903743315507
112;398;1046;31;2504;2,628140703517588;12,838709677419354;-29,33699384016856;20,429157075701088
113;426;1145;24;2681;2,687793427230047;17,75;-39,36857394366194;23,04846244131456
114;454;1241;30;2915;2,7334801762114536;15,133333333333333;-40,57775624082228;22,567066079295156
115;349;1029;36;2375;2,9484240687679084;9,694444444444445;-53,24153732887615;22,982237344794658
116;406;1092;34;2622;2,689655172413793;11,941176470588236;-33,630121703853945;20,804989858012174
117;371;1037;23;2449;2,7951482479784366;16,130434782608695;-46,80693308332354;23,683618891362944
118;404;1112;27;2626;2,7524752475247523;14,962962962962964;-42,011813348001425;22,724763476347636
119;381;1135;27;2624;2,979002624671916;14,11111111111111;-60,31139982502185;25,06556430446194
120;438;1150;36;2700;2,625570776255708;12,166666666666666;-28,43745433789954;20,136735159817352
121;389;1098;24;2615;2,822622107969152;16,208333333333332;-49,21028866752357;24,038190874035994
122;341;1028;22;2500;3,0146627565982405;15,5;-64,73796920821113;26,028020527859244
123;382;1112;25;2739;2,910994764397906;15,28;-55,74435706806281;24,718938219895296
124;350;1049;27;2504;2,9971428571428573;12,962962962962964;-60,68069312169314;24,831841269841274
125;374;980;30;2305;2,620320855614973;12,466666666666667;-28,2978110516934;20,19178609625668
126;406;1180;28;2885;2,9064039408866993;14,5;-54,56427339901475;24,360566502463055
127;397;1161;22;2703;2,924433249370277;18,045454545454547;-59,68818926036178;25,956039615296543
128;478;1216;34;2835;2,5439330543933054;14,058823529411764;-23,45144228402657;19,91135121831159
129;402;1086;30;2548;2,701492537313433;13,4;-36,112268656716395;21,513611940298514
130;398;1067;29;2560;2,680904522613065;13,724137931034482;-34,69952261306531;21,397087159937616
131;423;1222;27;2912;2,888888888888889;15,666666666666666;-54,26666666666665;24,608888888888888
132;337;987;25;2356;2,9287833827893177;13,48;-55,42227418397627;24,226843916913946
133;376;971;22;2375;2,5824468085106385;17,09090909090909;-29,787272727272722;21,548326885880083
134;421;1108;30;2598;2,6318289786223277;14,033333333333333;-30,861564924782243;20,93858194774347
135;412;1295;26;3039;3,1432038834951457;15,846153846153847;-75,96389469753547;27,67980582524272
136;440;1126;23;2753;2,559090909090909;19,130434782608695;-29,881482213438716;22,06814229249012
137;412;1108;31;2575;2,6893203883495147;13,290322580645162;-34,97118227372377;21,327206388975885
138;337;865;19;2081;2,5667655786350148;17,736842105263158;-29,116262689364333;21,61520224894581
139;426;1145;24;2724;2,687793427230047;17,75;-39,36857394366194;23,04846244131456
140;310;934;21;2225;3,0129032258064514;14,761904761904763;-63,839946236559086;25,71940092165899
141;389;1080;27;2504;2,776349614395887;14,407407407407407;-43,46769589641053;22,789814338760355
142;366;983;22;2305;2,685792349726776;16,636363636363637;-38,068941877794344;22,59053154495778
143;439;1065;30;2501;2,425968109339408;14,633333333333333;-14,054735383447223;18,743423690205017
144;336;831;17;1928;2,4732142857142856;19,764705882352942;-23,26010504201679;21,302163865546216
145;470;1219;24;2870;2,5936170212765957;19,583333333333332;-33,26208333333332;22,65218085106383
146;418;977;32;2322;2,3373205741626792;13,0625;-4,960758074162641;17,084757775119616
147;411;964;27;2321;2,3454987834549876;15,222222222222221;-7,844752635847499;18,02355231143552
148;363;845;24;1972;2,327823691460055;15,125;-6,250759297520659;17,777069559228654
149;368;945;19;2192;2,567934782608696;19,36842105263158;-30,871229977116712;22,26531464530893
150;493;1149;31;2702;2,3306288032454363;15,903225806451612;-7,277970948112312;18,113677942812277
